Marque,Modèle,year,road,boite,horsepower,fuel,nbre_portes,cylindrée,negociable,Prix
Fiat,FIORINO,2020,180 KM,Manuelle,5 CV,Diesel,3,4 L,Négociable,30
Peugeot,308,2015,180 000 KM,Manuelle,5 CV,Essence,5,3 L,Négociable,32000
Renault,Kangoo,2012,240 000 KM,Manuelle,5 CV,Diesel,3,6 L,,24500
Suzuki,Autres,2020,90 000 KM,Manuelle,5 CV,Essence,5,3 L,Négociable,35800
Suzuki,Autres,2020,88 000 KM,Manuelle,5 CV,Essence,5,3 L,Négociable,36500
Ford,FIESTA,2001,250 000 KM,Manuelle,5 CV,Essence,5,7 L,Négociable,12000
Peugeot,407,2004,264 000 KM,Manuelle,6 CV,Diesel,5,7 L,Négociable,20000
Nissan,Micra,2020,74 500 KM,Manuelle,5 CV,Essence,5,3 L,Négociable,33500
Volkswagen,Golf,1995,287 204 KM,Manuelle,6 CV,Diesel,,5,Négociable,15700
Mercedes,Classe E,2010,300 000 KM,Manuelle,7 CV,Diesel,5,12 L,Négociable,72000
Peugeot,308,2014,99 500 KM,Manuelle,5 CV,Essence,5,3 L,Négociable,34000
Bmw,SERIE 3 VI,2007,250 000 KM,Automatique,10 CV,Diesel,,3,,1
Volkswagen,Caddy,2021,179 000 KM,Manuelle,5 CV,Diesel,3,11 L,,50
Volkswagen,Polo,2012,350 000 KM,Manuelle,5 CV,Diesel,5,7 L,Négociable,26000
Seat,Arona,2021,58 000 KM,Manuelle,6 CV,Essence,5,7 L,,68000
Volkswagen,Golf,2005,300 KM,Manuelle,5 CV,Diesel,5,5 L,Négociable,0
Volkswagen,Amarok,2014,45 000 KM,Automatique,7 CV,Diesel,,5,Négociable,125
Infiniti,AUTRE,2023,8 000 KM,Automatique,10 CV,Essence,5,7 L,,215000
Chery,Tiggo,2020,100 000 KM,Manuelle,6 CV,Essence,5,7 L,,42500
Kia,RIO,2018,108 KM,Manuelle,5 CV,Essence,5,3 L,Négociable,49900
Mahindra,KUV 100,2022,10 300 KM,Manuelle,5 CV,Diesel,,3 L,Négociable,0
Citroen,NEMO,2017,150 KM,Manuelle,5 CV,Diesel,5,4 L,Négociable,25
Peugeot,3008,2020,87 000 KM,Automatique,9 CV,Essence,5,3 L,Négociable,90000
Volkswagen,Golf 6,2011,170 KM,Manuelle,5 CV,Diesel,5,7 L,Négociable,38
Kia,PICANTO,2010,137 KM,Manuelle,4 CV,Essence,5,2 L,Négociable,24500
Audi,A4,2013,248 705 KM,Manuelle,7 CV,Essence,5,9 L,Négociable,45000
Kia,RIO,2021,92 000 KM,Manuelle,5 CV,Essence,,5,Négociable,43500
Kia,RIO,2021,89 000 KM,Manuelle,5 CV,Essence,,5,Négociable,44000
Hyundai,I20,2021,39 000 KM,Manuelle,5 CV,Essence,5,3 L,,63000
Mazda,MAZDA5,2006,243 KM,Automatique,+20 CV,Diesel,5,11 L,Négociable,20
Fiat,DOBLO,2014,115 KM,Manuelle,4 CV,Diesel,3,4 L,,20
Ford,FIESTA,2013,183 000 KM,Manuelle,5 CV,Essence,5,5 L,Négociable,25900
Kia,RIO,2017,172 000 KM,Manuelle,5 CV,Essence,5,3 L,Négociable,39000
Fiat,PANDA,2009,178 000 KM,Manuelle,4 CV,Essence,5,1 L,Négociable,23900
Citroen,C3,2019,29 000 KM,Manuelle,4 CV,Essence,,5,,42500
Dacia,DOKKER,2021,40 000 KM,Manuelle,6 CV,Diesel,3,6 L,Négociable,39000
Hyundai,I10,2021,41 000 KM,Manuelle,5 CV,Essence,5,3 L,Négociable,49500
Seat,Ibiza,2017,140 000 KM,Manuelle,4 CV,Essence,5,1 L,,370000
Hyundai,SANTA FE,2022,23 000 KM,Automatique,9 CV,Hybride,5,7 L,Négociable,85
Renault,Clio,2008,322 000 KM,Manuelle,5 CV,Essence,5,3 L,,22500
Fiat,AUTRE,2004,298 000 KM,Manuelle,5 CV,Essence,5,21 L,,17000000
Fiat,PUNTO,1997,297 000 KM,Manuelle,4 CV,Essence,5,31 L,Négociable,13200
Opel,Agila,2001,284 000 KM,Manuelle,5 CV,Essence,5,3 L,Négociable,16200
Peugeot,206,2012,110 000 KM,Manuelle,4 CV,Essence,,5,Négociable,22700
Kia,RIO,2022,133 KM,Automatique,5 CV,Essence,5,3 L,Négociable,59000
Peugeot,307,2006,490 000 KM,Manuelle,6 CV,Essence,,5,Négociable,25000
Mazda,CX-5,2018,30 000 KM,Automatique,9 CV,Diesel,,,,140000
Great-wall,MK-GT,2021,36 000 KM,Manuelle,6 CV,Essence,5,3 L,Négociable,45500
Mazda,MAZDA6,2018,157 000 KM,Automatique,8 CV,Essence,5,11 L,Négociable,61
Audi,Q3,2019,77 000 KM,Automatique,6 CV,Essence,5,1 L,,95000
